Country/Region,ConfirmedCases,Fatalities,flu_vaccine,flu_vaccine_growth,medical_graduates,medical_graduates_growth,nursing_graduates,nursing_graduates_growth,health_spending,health_spending_growth,hospital_beds,doctors,doctors_growth,nurses_midwives,nurses_midwives_growth,infant_mortality,infant_mortality_growth,life_expectancy,life_expectancy_growth,overweight,overweight_growth,smokers,smokers_growth,alcohol
Togo,16.0,0.0,,,,,,,6.61568574,0.058614447,,0.0487,,0.298,-1.0,47.4,-0.026694045,60.489,0.004889282,28.1,0.021818182000000002,7.4,0.0,3.1
Trinidad and Tobago,49.0,0.0,,,,,,,6.5104014,0.047118133,,2.6697,,3.5093,-1.0,16.4,-0.029585799,73.245,0.002179844,46.0,0.015452539,,,8.4
Tunisia,60.0,1.0,,,,,,,6.95195517,-0.007820346,2.3,1.2722,-0.021309331,2.6351,-0.004796435,14.6,-0.006802720999999999,76.31,0.0025420829999999997,61.6,0.009836066,32.7,0.0030581040000000003,1.9
Turkey,670.0,9.0,7.0,,10.62,0.10051813471502569,16.92,-0.7648366921473245,4.3143198,0.042475612999999995,,,,2.6304,-1.0,9.1,-0.06185567,77.161,0.004285789,66.8,0.009063444,27.2,-0.018382353,2.0
Ukraine,47.0,3.0,,,,,,,6.72703787,-0.032947167,,,,,,7.5,-0.025974026,71.78097561,0.004029094,58.4,0.006896551999999999,28.9,-0.017301038,8.6
United Arab Emirates,153.0,2.0,,,,,,,3.51684955,-0.019133959,,2.3944,0.070218567,5.5857,0.107856165,6.5,-0.015151515,77.64699999999999,0.002393737,67.8,0.008928571,28.9,0.010380623,3.8
Uruguay,110.0,0.0,,,,,,,9.06075776,0.0058244609999999995,,5.0499,0.284014341,1.9299,-0.692602975,6.4,-0.058823529000000006,77.632,0.001667334,62.9,0.008012821,16.8,-0.077380952,10.8
Uzbekistan,43.0,0.0,,,,,,,6.33520937,0.03931163,,,,,,19.1,-0.054455446,71.388,0.0034260090000000003,48.2,0.014736842,12.6,-0.015873016,2.7
Venezuela,70.0,0.0,,,,,,,3.21708435,-0.372757732,,,,,,21.4,0.0,72.24600000000001,-0.002466108,63.4,0.006349206,,,5.6
Vietnam,94.0,0.0,,,,,,,5.65919354,0.001162717,,0.8199,0.039558768,1.4321,0.016250355,16.5,-0.023668638999999998,75.241,0.000825456,18.3,0.033898305,22.8,-0.013157895,8.4
Zambia,2.0,0.0,,,,,,,4.47720737,0.009493605,,0.0913,,0.8925,-1.0,40.4,-0.026506024,63.043,0.011775758,27.8,0.018315018,13.8,-0.014492753999999998,4.8
Denmark,1326.0,13.0,52.0,0.040000000000000036,21.47,0.2592375366568913,43.98,0.010802114456446743,10.35004017,0.007418385,2.5,4.4567,0.212938519,10.3004,-0.40161963100000003,3.6,0.0,81.00487805,0.001873791,55.4,0.005444646,19.1,-0.041884817000000005,10.4
France,14282.0,562.0,49.7,-0.005999999999999894,9.46,0.045303867403314824,40.84,-0.0019550342130987275,11.53929503,0.003298267,,3.2349,0.0034742690000000003,9.6887,-0.114402713,3.4,0.0,82.52439024,0.0024591129999999998,59.5,0.008474576,32.7,-0.0030581040000000003,12.6
Netherlands,3631.0,136.0,64.0,-0.009287925696594312,15.95,0.039087947882736174,52.9,0.21805203776191573,10.35932019,-0.0034320059999999996,,3.5067,0.005505376,11.1043,0.060835920999999994,3.3,0.0,81.56097561,0.000628385,57.8,0.006968640999999999,25.8,-0.023255814,8.7
United Kingdom,5018.0,233.0,72.6,0.029787234042553123,12.87,0.0007776049766718973,30.97,0.051970108695652106,9.7623484,-0.0031029240000000004,,2.8058,0.003540899,8.2878,-0.055850732,3.6,-0.027027027000000002,81.15609756,0.002470475,63.7,0.007911392,22.3,-0.035874439,11.5
Australia,1071.0,7.0,,,15.45,-0.031347962382445194,84.54,0.0311013538236371,9.25209201,-0.008357406,,3.5874,0.018771476000000002,12.6612,0.015601563,3.1,0.0,82.49756098,0.000591996,64.5,0.0078125,14.7,-0.034013605,10.6
Canada,1277.0,19.0,61.1,0.021739130434782705,7.7,0.005221932114882533,52.47,-0.06119162640901776,10.53465477,0.015240835,,2.6102,0.016908213000000002,9.9056,0.0066871280000000005,4.3,-0.022727273,82.24897561,0.002957801,64.1,0.006279435,14.3,-0.048951049,8.9
China,81305.0,3259.0,,,,,,,4.98188075,0.019055699,,1.7855,,2.3073,-1.0,7.4,-0.06329113900000001,76.47,0.003714045,32.3,0.022151899,25.6,-0.0078125,7.2
Cruise Ship,712.0,8.0,,,,,,,,,,,,,,,,,,,,,,
US,25489.0,307.0,67.5,-0.02315484804630963,7.76,0.027814569536423805,61.68,-0.0011336032388663542,17.07341533,0.015328342,,2.5948,0.003480548,8.55,-1.0,5.6,-0.01754386,78.53902439,-0.001921706,67.9,0.0074183980000000005,21.8,-0.02293578,9.8
